CountryName,year,Life Ladder,Log GDP,Social support,life exp,Free Life choice,Generosity,Corruption%,Posi affect,Nega affect,Confi in gov,Democratic,Delivery,GINI 00-17,gini(hhold income),Trust(81-84),Trust(94-98),Trust(05-09)
France,2018,6.665903568,10.58546066,0.921463072,73.80000305,0.816377223,-0.13704294,0.581775308,0.767313421,0.282451361,0.380547434,0.644274771,1.352642059,0.320923077,0.360965639,,,0.187642321
Gabon,2018,4.783009052,9.675469398,0.78482759,59.70000076,0.719135404,-0.210482344,0.82286346,0.640691638,0.417660981,0.311373711,-0.597674549,-0.81343323,0.401,0.485094249,,,
Gambia,2018,4.922099113,7.324285507,0.684799969,55,0.718728781,0.459917247,0.691069543,0.804012179,0.3792077,0.757543445,-0.113374949,-0.537259996,0.422666667,0.592391193,,,
Georgia,2018,4.659097195,9.225396156,0.617218554,64.5,0.7751441,-0.215954006,0.754853785,0.572953463,0.243778914,0.300006181,-0.08989875,0.693335652,0.380333333,0.419812053,,0.17679283,0.176588625
Germany,2018,7.118364334,10.73551273,0.919763148,72.19999695,0.8768875,0.035551026,0.495673954,0.780280411,0.243214577,0.592990577,1.013628483,1.736477613,0.307071429,0.283512622,,0.321322799,0.343591362
Ghana,2018,5.003693104,8.345656395,0.760716796,57.20000076,0.816680491,0.07082846,0.846328497,0.746900201,0.250001252,0.623060167,0.304300517,-0.083331525,0.429,0.700060844,,,0.084801041
Greece,2018,5.40928936,10.13224316,0.793500781,72.40000153,0.564455688,-0.33177492,0.860302389,0.665699065,0.255006582,0.157048658,0.474961132,0.180052489,0.346384615,0.315494269,,,
Guatemala,2018,6.626591682,8.923839569,0.841107249,64.80000305,0.909538031,-0.008713783,0.765454412,0.871362031,0.262411267,0.45706442,-0.441893369,-0.687801123,0.523666667,0.634369075,,,0.149302989
Guinea,2018,5.25222683,7.757030487,0.630433142,54.40000153,0.731157243,0.091247,0.778393805,0.743881047,0.4404383,0.59172374,-0.815170825,-1.00053668,0.387,0.603387713,,,
Haiti,2018,3.614928007,7.41233778,0.537975907,55.70000076,0.591468394,0.421073586,0.720444739,0.5841133,0.358720034,0.367896646,-0.686148882,-1.356632948,0.411,0.669433951,,,
