Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Development Level,Continent,Region,Rank
Japan,2016,5.955,10.595,0.9,74.8,0.836,-0.062,0.698,0.76,0.192,Developed,Asia,Asia & Pacific,46
Kuwait,2016,5.947,10.91,0.845,66.3,0.841,-0.075,,0.688,0.315,Developing,Asia,Middle east,47
Latvia,2016,5.94,10.211,0.917,66.2,0.685,-0.156,0.868,0.654,0.231,Developed,Europe,Europe,48
Slovenia,2016,5.937,10.463,0.934,70.5,0.904,-0.055,0.838,0.626,0.272,Developed,Europe,Europe,49
Uzbekistan,2016,5.893,8.756,0.945,64.5,0.984,0.208,,0.842,0.147,Developing,Asia,Asia & Pacific,50
Finland,2017,7.788,10.768,0.964,71.8,0.962,-0.002,0.192,0.787,0.176,Developed,Europe,Europe,1
Denmark,2017,7.594,10.916,0.952,72.1,0.955,0.155,0.181,0.824,0.206,Developed,Europe,Europe,2
Norway,2017,7.579,11.05,0.95,73.1,0.953,0.236,0.25,0.849,0.203,Developed,Europe,Europe,3
Iceland,2017,7.476,10.925,0.967,73,0.939,0.246,0.727,0.895,0.148,Developed,Europe,Europe,4
Switzerland,2017,7.474,11.115,0.95,73.8,0.925,0.18,0.316,0.774,0.196,Developed,Europe,Europe,5
Netherlands,2017,7.459,10.921,0.937,72.2,0.92,0.25,0.363,0.852,0.185,Developed,Europe,Europe,6
Canada,2017,7.415,10.792,0.934,73.4,0.945,0.163,0.362,0.863,0.218,Developed,North America,North America,7
Israel,2017,7.331,10.57,0.916,73.1,0.768,0.145,0.793,0.674,0.276,Developed,Asia,Europe,8
New Zealand,2017,7.327,10.633,0.955,73,0.942,0.294,0.222,0.817,0.172,Developed,Oceania,Asia & Pacific,9
Austria,2017,7.294,10.908,0.906,72.7,0.89,0.133,0.518,0.748,0.18,Developed,Europe,Europe,10
Sweden,2017,7.287,10.873,0.914,72.5,0.935,0.17,0.239,0.814,0.175,Developed,Europe,Europe,11
Australia,2017,7.257,10.798,0.95,73.3,0.911,0.317,0.411,0.78,0.225,Developing,Oceania,Asia & Pacific,12
Costa Rica,2017,7.225,9.858,0.922,71.1,0.936,-0.076,0.742,0.874,0.275,Developed,North America,South/Latin America,13
United Kingdom,2017,7.103,10.736,0.937,72.1,0.813,0.291,0.419,0.759,0.21,Developed,Europe,Europe,14
Germany,2017,7.074,10.878,0.892,71.9,0.841,0.145,0.414,0.737,0.196,Developed,Europe,Europe,15
Luxembourg,2017,7.061,11.634,0.905,72.6,0.903,0.044,0.33,0.766,0.184,Developed,Europe,Europe,16
Ireland,2017,7.06,11.266,0.943,72.2,0.905,0.216,0.337,0.833,0.213,Developed,Europe,Europe,17
United Arab Emirates,2017,7.039,11.115,0.836,66.9,0.962,0.216,,0.795,0.208,Developed,Asia,Middle east,18
United States,2017,6.992,11.001,0.921,68.4,0.868,0.197,0.681,0.827,0.268,Developing,North America,North America,19
Belgium,2017,6.928,10.834,0.922,71.8,0.857,0.054,0.543,0.786,0.234,Developed,Europe,Europe,20
Czech Republic,2017,6.79,10.558,0.901,69.8,0.832,-0.177,0.867,0.739,0.227,Developed,Europe,Europe,21
Malta,2017,6.676,10.635,0.937,72.2,0.924,0.253,0.69,0.721,0.302,Developed,Europe,Europe,22
France,2017,6.635,10.711,0.931,73.6,0.834,-0.123,0.601,0.762,0.242,Developed,Europe,Europe,23
Panama,2017,6.568,10.324,0.912,69.5,0.9,-0.17,0.841,0.833,0.242,Developing,North America,South/Latin America,24
Nicaragua,2017,6.476,8.7,0.838,67.2,0.922,0.01,0.673,0.85,0.308,Developed,North America,South/Latin America,25
Uzbekistan,2017,6.421,8.782,0.942,64.8,0.985,0.123,0.465,0.839,0.203,Developed,Asia,Asia & Pacific,26
Mexico,2017,6.41,9.893,0.8,68,0.861,-0.202,0.801,0.843,0.231,Developing,North America,South/Latin America,27
Singapore,2017,6.378,11.461,0.897,76.5,0.926,0.136,0.162,0.8,0.179,Developing,Asia,Asia & Pacific,28
Slovakia,2017,6.366,10.339,0.913,68.6,0.714,-0.055,0.92,0.788,0.213,Developing,Europe,Europe,29
Taiwan Province of China,2017,6.359,10.871,0.891,,0.76,-0.07,0.743,0.837,0.114,Developing,Asia,Asia & Pacific,30
El Salvador,2017,6.339,9.042,0.829,65.8,0.758,-0.172,0.778,0.849,0.268,Developed,North America,South/Latin America,31
Uruguay,2017,6.336,9.968,0.914,68.9,0.898,-0.091,0.627,0.836,0.28,Developing,South America,South/Latin America,32
