Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Development Level,Continent,Region
India,2018,3.818,8.779,0.638,60.1,0.89,0.085,0.805,0.657,0.357,Developing,Asia,Asia & Pacific
India,2019,3.249,8.818,0.561,60.5,0.876,0.112,0.752,0.648,0.466,Developing,Asia,Asia & Pacific
Indonesia,2017,5.098,9.3,0.796,61.9,0.865,0.488,0.9,0.863,0.319,Developing,Asia,Asia & Pacific
Indonesia,2018,5.34,9.339,0.809,62.1,0.879,0.512,0.868,0.864,0.296,Developing,Asia,Asia & Pacific
Indonesia,2019,5.347,9.377,0.802,62.3,0.866,0.555,0.861,0.877,0.302,Developing,Asia,Asia & Pacific
Iran,2017,4.717,9.584,0.714,65.7,0.731,0.218,0.715,0.694,0.439,#N/A,Asia,Asia
Iran,2018,4.278,,0.674,66,0.603,,0.703,0.553,0.493,#N/A,Asia,Asia
Iran,2019,5.006,,0.698,66.3,0.623,,0.728,0.6,0.449,#N/A,Asia,Asia
Iraq,2017,4.462,9.303,0.695,59.6,0.628,0,0.757,0.505,0.591,Developing,Asia,Middle east
Iraq,2018,4.886,9.274,0.764,60.2,0.598,-0.068,0.887,0.605,0.482,Developing,Asia,Middle east
Ireland,2017,7.06,11.266,0.943,72.2,0.905,0.216,0.337,0.833,0.213,Developed,Europe,Europe
Ireland,2018,6.962,11.332,0.938,72.3,0.861,0.144,0.362,0.811,0.213,Developed,Europe,Europe
Ireland,2019,7.255,11.371,0.944,72.4,0.892,0.074,0.373,0.807,0.223,Developed,Europe,Europe
Israel,2017,7.331,10.57,0.916,73.1,0.768,0.145,0.793,0.674,0.276,Developed,Asia,Europe
Israel,2018,6.927,10.585,0.91,73.3,0.725,0.055,0.77,0.663,0.282,Developed,Asia,Europe
Israel,2019,7.332,10.601,0.946,73.5,0.834,0.085,0.743,0.635,0.266,Developed,Asia,Europe
Italy,2017,6.199,10.64,0.92,73.4,0.633,-0.035,0.867,0.661,0.323,Developed,Europe,Europe
Italy,2018,6.517,10.65,0.913,73.6,0.65,-0.021,0.888,0.649,0.403,Developed,Europe,Europe
Italy,2019,6.445,10.655,0.838,73.8,0.709,-0.082,0.866,0.631,0.328,Developed,Europe,Europe
Ivory Coast,2017,5.038,8.483,0.661,48.9,0.732,-0.111,0.771,0.698,0.357,#N/A,Africa,Africa
Ivory Coast,2018,5.268,8.523,0.621,49.5,0.713,-0.05,0.791,0.682,0.386,#N/A,Africa,Africa
Ivory Coast,2019,5.392,8.564,0.679,50.1,0.736,-0.017,0.799,0.674,0.425,#N/A,Africa,Africa
Jamaica,2017,5.89,9.169,0.913,67.1,0.861,-0.13,0.883,0.769,0.243,Developing,North America,South/Latin America
Jamaica,2019,6.309,9.186,0.878,67.5,0.891,-0.137,0.885,0.752,0.195,Developing,North America,South/Latin America
Japan,2017,5.911,10.618,0.882,74.9,0.849,-0.206,0.659,0.74,0.176,Developed,Asia,Asia & Pacific
Japan,2018,5.794,10.623,0.886,75,0.773,-0.261,0.687,0.703,0.185,Developed,Asia,Asia & Pacific
Japan,2019,5.908,10.632,0.878,75.1,0.806,-0.255,0.617,0.743,0.194,Developed,Asia,Asia & Pacific
Jordan,2017,4.808,9.194,0.815,66.6,0.766,-0.152,,0.628,0.392,Developing,Asia,Middle east
Jordan,2018,4.639,9.196,0.8,66.8,0.762,-0.186,,,,Developing,Asia,Middle east
Jordan,2019,4.453,9.201,0.793,67,0.726,-0.165,,,,Developing,Asia,Middle east
Kazakhstan,2017,5.882,10.121,0.914,64,0.745,-0.035,0.755,0.757,0.171,Developing,Asia,Asia & Pacific
Kazakhstan,2018,6.008,10.148,0.937,64.6,0.84,-0.098,0.824,0.693,0.162,Developing,Asia,Asia & Pacific
Kazakhstan,2019,6.272,10.179,0.951,65.2,0.852,-0.055,0.708,0.787,0.139,Developing,Asia,Asia & Pacific
Kenya,2017,4.476,8.306,0.715,59.5,0.853,0.234,0.854,0.788,0.23,Developing,Africa,Africa
